Rk,Team,PCWs,RPI,Rk2,QWB-†,W-L-T,PwWin %,Wgtd Win % - ‡,Regional,T_Ranking
39,Alaska-Anchorage,25,0.4798,39,0.0017,15-17-2 (2-1),0.4608,0.4714,,
40,Augustana,25,0.4794,40,0.0015,12-18-4 (3-4),0.4216,0.4435,,
41,Mass.-Lowell,23,0.4793,41,0.0007,8-24-4 (1-6),0.3241,0.3327,,
42,Niagara,22,0.4785,42,0.0002,18-18-3 (3-1),0.4829,0.5009,,
43,St. Lawrence,21,0.4778,43,0.0022,14-19-6 (1-2),0.4444,0.4483,,
44,Bentley,20,0.4743,44,0.0004,16-17-2 (2-3),0.4952,0.498,,
45,Air Force,19,0.4737,45,0.0011,18-19-1 (4-1),0.4605,0.4549,,
46,Lake Superior,18,0.4675,47,0,17-20-1 (3-2),0.4518,0.4635,,
47,St. Thomas,17,0.4695,46,0.0004,15-20-2 (1-4),0.4595,0.4583,,
48,Northern Michigan,16,0.461,48,0,12-16-6 (1-1),0.4412,0.4416,,
49,Miami,15,0.4593,49,0.0015,7-26-3 (1-4),0.2639,0.2638,,
50,Harvard,14,0.4586,50,0.0009,7-19-6 (1-3),0.3333,0.3282,,
51,Yale,13,0.4585,51,0.0005,10-18-2 (1-2),0.3778,0.3733,,
52,Long Island,12,0.4542,53,0.0003,15-19-1 (2-2),0.4429,0.4677,,
53,Sacred Heart,10,0.4583,52,0.0002,14-19-3 (2-2),0.4306,0.4222,,
54,Rensselaer,10,0.4513,54,0,10-23-4 (1-0),0.3153,0.3321,,
55,Princeton,10,0.4496,55,0.0004,10-16-4 (5-0),0.3444,0.3539,,
56,Bowling Green,8,0.444,56,0,13-22-1 (1-2),0.3843,0.3875,,
57,Army,8,0.4434,57,0.0002,10-23-2 (0-3),0.3429,0.3506,,
58,Canisius,6,0.4431,58,0.0001,12-21-4 (2-1),0.3694,0.3598,,
59,Mercyhurst,5,0.4336,59,0.0003,9-22-4 (2-2),0.3143,0.3263,,
60,Robert Morris,4,0.4334,60,0,11-25-3 (0-1),0.3291,0.3362,,
61,Brown,3,0.4312,61,0,8-19-3 (2-3),0.3278,0.3149,,
62,Lindenwood,2,0.4215,62,0.0008,6-18-4 (2-1),0.2738,0.2893,,
63,Ferris State,1,0.4171,63,0.0002,10-24-2 (6-2),0.2685,0.2642,,
64,Stonehill,0,0.3396,64,0,1-33-0 (0-2),0.049,0.0522,,
