Team,Player,No,Position,Yr,Ht,Wt,DOB,Hometown,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,Season,file,Unnamed: 0,No.,Name,Yr.,Ht.,Wt.,Team.1,Age
Lake Superior,Dawson Tritt,11.0,Forwards,Jr,2-Jun,180.0,2000-09-01,"Spokane, Wash.",74.0,,,,Lone Star,NAHL,2023.0,roster_data_2023.csv,,,,,,,,8609
Lake Superior,Jordan Venegoni,21.0,Forwards,Jr,Jun-00,185.0,2000-08-16,"Livonia, Mich.",72.0,,,,Amarillo,NAHL,2023.0,roster_data_2023.csv,,,,,,,,8625
Lake Superior,Jared Westcott,15.0,Forwards,Sr,1-Jun,200.0,1999-06-14,"Imperial, Mo.",73.0,,,,Penn State,Big10,2023.0,roster_data_2023.csv,,,,,,,,9054
Lake Superior,Joshua Wildauer,19.0,Forwards,Sr,8-May,170.0,1999-06-16,"Dearborn Heights, Mich.",68.0,,,,Coquitlam,BCHL,2023.0,roster_data_2023.csv,,,,,,,,9052
Lake Superior,Tyler Williams,3.0,Forwards,Sr,7-May,175.0,2000-05-16,"South Lyon, Mich.",67.0,,,,Nanaimo,BCHL,2023.0,roster_data_2023.csv,,,,,,,,8717
Lake Superior,William Hakansson,31.0,Goaltenders,Fr,Jun-00,190.0,2003-03-24,"Oskarshamn, Sweden",72.0,,,,Maryland,NAHL,2023.0,roster_data_2023.csv,,,,,,,,7675
Lake Superior,Easton Hesse,30.0,Goaltenders,Jr,Jun-00,175.0,2000-06-28,"Beaumont, Alb.",72.0,,,,Bonnyville,AJHL,2023.0,roster_data_2023.csv,,,,,,,,8674
Lake Superior,Ethan Langenegger,1.0,Goaltenders,Sr,Jun-00,187.0,2000-09-10,"Kamloops, B.C.",72.0,,,,Salmon Arm,BCHL,2023.0,roster_data_2023.csv,,,,,,,,8600
Colgate,Nick Anderson,27.0,Defensemen,Sr,10-May,161.0,1999-01-04,"Independence, Minn.",70.0,,,,Sioux Falls,USHL,2023.0,roster_data_2023.csv,,,,,,,,9215
Colgate,Nic Belpedio,9.0,Defensemen,Jr,10-May,194.0,2001-10-09,"Skokie, Ill.",70.0,,,,Waterloo,USHL,2023.0,roster_data_2023.csv,,,,,,,,8206
Colgate,Tommy Bergsland,25.0,Defensemen,Jr,3-Jun,185.0,2001-03-23,"Minnetrista, Minn.",75.0,,,,Bismarck,NAHL,2023.0,roster_data_2023.csv,,,,,,,,8406
Colgate,Pierson Brandon,2.0,Defensemen,Sr,Jun-00,180.0,2000-06-06,"Irvington, N.Y.",72.0,,,,Aberdeen,NAHL,2023.0,roster_data_2023.csv,,,,,,,,8696
Colgate,Dom Foglia,15.0,Defensemen,Fr,1-Jun,190.0,2002-04-29,"Tinton Falls, N.J.",73.0,,,,Philadephia,NAHL,2023.0,roster_data_2023.csv,,,,,,,,8004
Colgate,Reid Irwin,4.0,Defensemen,Jr,1-Jun,157.0,1999-03-01,"Victoria, B.C.",73.0,,,,Denver,NCHC,2023.0,roster_data_2023.csv,,,,,,,,9159
Colgate,Bobby Metz,6.0,Defensemen,So,9-May,174.0,2001-08-20,"Detroit, Mich.",69.0,,,,Minnesota,NAHL,2023.0,roster_data_2023.csv,,,,,,,,8256
Colgate,Brett Chorske,29.0,Forwards,Jr,6-Jun,205.0,2001-05-24,"Edina, Minn.",78.0,,,,Colorado College,NCHC,2023.0,roster_data_2023.csv,,,,,,,,8344
Colgate,Alex DiPaolo,28.0,Forwards,Jr,1-Jun,188.0,2000-04-28,"Oakville, Ont.",73.0,,,,Victoria ,BCHL,2023.0,roster_data_2023.csv,,,,,,,,8735
Colgate,Levi Glasman,20.0,Forwards,Sr,2-Jun,172.0,1999-07-31,"Lacombe, Alb.",74.0,,,,Powell,BCHL,2023.0,roster_data_2023.csv,,,,,,,,9007
Colgate,Simon Labelle,7.0,Forwards,So,11-May,176.0,2002-09-03,"Ottawa, Ont.",71.0,,,,Prince George,BCHL,2023.0,roster_data_2023.csv,,,,,,,,7877
Colgate,Ethan Manderville,14.0,Forwards,Gr,4-Jun,230.0,2000-07-01,"Ottawa, Ont.",76.0,,,,Ottawa Jr. Senators,CCHL,2023.0,roster_data_2023.csv,,,,,,,,8671
Colgate,Ryan McGuire,19.0,Forwards,Jr,2-Jun,183.0,2002-07-27,"New Canaan, Conn.",74.0,,,,Penticton,BCHL,2023.0,roster_data_2023.csv,,,,,,,,7915
Colgate,Ross Mitton,17.0,Forwards,Sr,11-May,183.0,2000-07-05,"Copiague Harbor, N.Y.",71.0,,,,Omaha,USHL,2023.0,roster_data_2023.csv,,,,,,,,8667
Colgate,Owen Neuharth,23.0,Forwards,So,9-May,150.0,2001-10-25,"Prior Lake, Minn.",69.0,,,,Fairbanks,NAHL,2023.0,roster_data_2023.csv,,,,,,,,8190
Colgate,Robby Newton,22.0,Forwards,So,8-May,190.0,2001-07-16,"Milwaukee, Wis.",68.0,,,,Wisconsin,B10,2023.0,roster_data_2023.csv,,,,,,,,8291
Colgate,Daniel Panetta,12.0,Forwards,So,10-May,175.0,2001-05-20,"Belleville, Ont.",70.0,,,,Salmon Arm,BCHL,2023.0,roster_data_2023.csv,,,,,,,,8348
Colgate,Ben Raymond,18.0,Forwards,Jr,11-May,180.0,2001-08-22,"Newton, Mass.",71.0,,,,Powell River,BCHL,2023.0,roster_data_2023.csv,,,,,,,,8254
Colgate,Niko Rexine,11.0,Forwards,Fr,2-Jun,195.0,2002-06-20,"Syracuse, N.Y.",74.0,,,,Muskegon,USHL,2023.0,roster_data_2023.csv,,,,,,,,7952
Colgate,Jake Schneider,24.0,Forwards,Fr,11-May,185.0,2002-12-24,"Plymouth, Minn.",71.0,,,,Prince George,BCHL,2023.0,roster_data_2023.csv,,,,,,,,7765
Colgate,Ryan Sullivan,16.0,Forwards,Fr,3-Jun,196.0,2002-05-15,"Calgary, Alb.",75.0,,,,Camrose,AJHL,2023.0,roster_data_2023.csv,,,,,,,,7988
Colgate,Sebastian Tamburro,13.0,Forwards,So,11-May,170.0,2002-03-04,"Toronto, Ont.",71.0,,,,Bonnyville,AJHL,2023.0,roster_data_2023.csv,,,,,,,,8060
Colgate,Carter Gylander,37.0,Goaltenders,Sr,5-Jun,185.0,2001-06-05,"Beaumont, Alb.",77.0,2019.0,DET,7.0,Sherwood Park,AJHL,2023.0,roster_data_2023.csv,,,,,,,,8332
Colgate,Nick Haas,35.0,Goaltenders,So,5-Jun,194.0,2001-11-11,"Williamsville, N.Y.",77.0,,,,Chippewa,NAHL,2023.0,roster_data_2023.csv,,,,,,,,8173
Colgate,Andrew Takacs,1.0,Goaltenders,So,2-Jun,190.0,2001-02-27,"Bowie, Md.",74.0,,,,New Jersey,NAHL,2023.0,roster_data_2023.csv,,,,,,,,8430
Sacred Heart,Mikey Adamson,6.0,Defensemen,So,9-May,170.0,2001-08-16,"Quincy, Mass.",69.0,,,,Massachusetts,HEA,2023.0,roster_data_2023.csv,,,,,,,,8260
Sacred Heart,Grant Anderson,3.0,Defensemen,Sr,2-Jun,180.0,1999-09-15,"Plymouth, Minn.",74.0,,,,Omaha,USHL,2023.0,roster_data_2023.csv,,,,,,,,8961
Sacred Heart,Blake Dangos,4.0,Defensemen,So,10-May,170.0,2002-04-08,"St. Louis, Mo.",70.0,,,,Arizona State,DI Independent,2023.0,roster_data_2023.csv,,,,,,,,8025
Sacred Heart,Dante Fantauzzi,25.0,Defensemen,Sr,1-Jun,190.0,2000-05-01,"Woodbridge, Ont.",73.0,,,,Alaska-Anchorage,WCHA,2023.0,roster_data_2023.csv,,,,,,,,8732
Sacred Heart,Conner Hutchison,22.0,Defensemen,Jr,11-May,170.0,2000-06-02,"Hicksville, N.Y.",71.0,,,,Tri-City,USHL,2023.0,roster_data_2023.csv,,,,,,,,8700
Sacred Heart,Brendan Kennette,14.0,Defensemen,So,2-Jun,195.0,2002-06-09,"Windsor, Ont.",74.0,,,,Brooks,AJHL,2023.0,roster_data_2023.csv,,,,,,,,7963
Sacred Heart,Andrius Kulbis-Marino,5.0,Defensemen,Sr,Jun-00,182.0,2000-02-16,"Methuen, Mass.",72.0,,,,Tri City,USHL,2023.0,roster_data_2023.csv,,,,,,,,8807
Sacred Heart,Hunter Sansbury,8.0,Defensemen,Jr,11-May,180.0,2000-10-08,"Lomita, Calif.",71.0,,,,Salmon Arm,BCHL,2023.0,roster_data_2023.csv,,,,,,,,8572
Sacred Heart,Tyler Spott,11.0,Defensemen,Gr,11-May,175.0,2000-06-17,"Toronto, Ont.",71.0,,,,Northeastern,HEA,2023.0,roster_data_2023.csv,,,,,,,,8685
Sacred Heart,Garrett Sundquist,7.0,Defensemen,Jr,3-Jun,208.0,2001-07-17,"South Glastonbury, Conn.",75.0,,,,Providence,HEA,2023.0,roster_data_2023.csv,,,,,,,,8290
Sacred Heart,Jake Bongo,19.0,Forwards,Fr,10-May,170.0,2003-02-04,"Ridgefield, Conn.",70.0,,,,Surrey,BCHL,2023.0,roster_data_2023.csv,,,,,,,,7723
Sacred Heart,Mark Cheremeta,24.0,Forwards,Gr,11-May,185.0,1999-07-12,"Parkland, Fla.",71.0,,,,Ohio State,B10,2023.0,roster_data_2023.csv,,,,,,,,9026
Sacred Heart,Aidan Connolly,17.0,Forwards,So,10-May,180.0,2001-10-05,"Marshfield, Mass.",70.0,,,,Maine,NAHL,2023.0,roster_data_2023.csv,,,,,,,,8210
Sacred Heart,Brendan Dumas,21.0,Forwards,Fr,10-May,185.0,2002-08-28,"North Attleborough, Mass.",70.0,,,,New Jersey,NAHL,2023.0,roster_data_2023.csv,,,,,,,,7883
Sacred Heart,Daniel Ebrahim,9.0,Forwards,Jr,Jun-00,185.0,2000-07-12,"Brooklin, Ont.",72.0,,,,Jersey,NCDC,2023.0,roster_data_2023.csv,,,,,,,,8660
Sacred Heart,Cole Galata,27.0,Forwards,Fr,10-May,175.0,2002-03-18,"Barrie, Ont.",70.0,,,,Surrey,BCHL,2023.0,roster_data_2023.csv,,,,,,,,8046
Sacred Heart,Chikara Hanzawa,10.0,Forwards,So,8-May,165.0,2001-07-12,"Tokyo, Japan",68.0,,,,South Shore,NCDC,2023.0,roster_data_2023.csv,,,,,,,,8295
Sacred Heart,Rylee Hlusiak,29.0,Forwards,Fr,10-May,175.0,2002-06-03,"Barrie, Ont.",70.0,,,,West Kelowna,BCHL,2023.0,roster_data_2023.csv,,,,,,,,7969
Sacred Heart,Blake Humphrey,20.0,Forwards,So,9-May,170.0,2002-01-18,"Syracuse, N.Y.",69.0,,,,Sioux Falls,USHL,2023.0,roster_data_2023.csv,,,,,,,,8105
Sacred Heart,Liam Izyk,26.0,Forwards,Gr,1-Jun,187.0,1998-12-27,"Blackie, Alb.",73.0,,,,Boston College,HEA,2023.0,roster_data_2023.csv,,,,,,,,9223
Sacred Heart,John Jaworski,18.0,Forwards,Sr,10-May,176.0,2000-03-20,"Grinnell, Iowa",70.0,,,,Chicago,USHL,2023.0,roster_data_2023.csv,,,,,,,,8774
Sacred Heart,Marcus Joughin,28.0,Forwards,So,11-May,181.0,2001-07-05,"Tecumseh, Ont.",71.0,,,,West Kelowna,BCHL,2023.0,roster_data_2023.csv,,,,,,,,8302
Sacred Heart,Kevin Lombardi,12.0,Forwards,Gr,4-Jun,234.0,1998-08-12,"Schwenksville, Pa.",76.0,,,,Sioux City,USHL,2023.0,roster_data_2023.csv,,,,,,,,9360
Sacred Heart,Dylan Robbins,16.0,Forwards,So,Jun-00,174.0,2001-08-29,"Alpine, N.J.",72.0,,,,Chicago,USHL,2023.0,roster_data_2023.csv,,,,,,,,8247
Sacred Heart,Braeden Tuck,23.0,Forwards,Gr,Jun-00,183.0,1998-04-15,"Calgary, Alb.",72.0,,,,Trail,BCHL,2023.0,roster_data_2023.csv,,,,,,,,9479
Sacred Heart,TJ Walsh,13.0,Forwards,Gr,8-May,175.0,2000-04-29,"Shrewsbury, Mass.",68.0,,,,Rensselaer,ECAC,2023.0,roster_data_2023.csv,,,,,,,,8734
Sacred Heart,Chase Clark,32.0,Goaltenders,So,6-Jun,218.0,2002-04-08,"Williamsville, N.Y.",78.0,2021.0,WSH,6.0,Quinnipiac,ECAC,2023.0,roster_data_2023.csv,,,,,,,,8025
Sacred Heart,Cullen DeYoung,39.0,Goaltenders,Fr,10-May,165.0,2002-02-03,"Canton, Mich.",70.0,,,,Northeast,NAHL,2023.0,roster_data_2023.csv,,,,,,,,8089
Sacred Heart,Jack O'Dea,1.0,Goaltenders,Jr,10-May,140.0,2000-09-07,"Brighton, Mass.",70.0,,,,Bridgton Academy,Prep,2023.0,roster_data_2023.csv,,,,,,,,8603
Sacred Heart,Justin Robbins,31.0,Goaltenders,Gr,9-May,160.0,1999-03-10,"Alpine, N.J.",69.0,,,,Arizona State,D1 Independent,2023.0,roster_data_2023.csv,,,,,,,,9150
Minnesota State,Steven Bellini,22.0,Defensemen,Jr,10-May,170.0,2000-05-23,"Sault Ste. Marie, Ont.",70.0,,,,Tri-City,USHL,2023.0,roster_data_2023.csv,,,,,,,,8710
Minnesota State,Campbell Cichosz,8.0,Defensemen,So,Jun-00,182.0,2001-08-23,"Albert Lea, Minn.",72.0,,,,Alaska,NAHL,2023.0,roster_data_2023.csv,,,,,,,,8253
Minnesota State,Brandon Koch,3.0,Defensemen,Gr,Jun-00,190.0,1999-01-18,"Hastings, Minn.",72.0,,,,Air Force,AHA,2023.0,roster_data_2023.csv,,,,,,,,9201
Minnesota State,Tony Malinowski,27.0,Defensemen,Sr,5-Jun,202.0,1999-10-15,"Clarkston, Mich.",77.0,,,,Des Moines,USHL,2023.0,roster_data_2023.csv,,,,,,,,8931
Minnesota State,Evan Murr,10.0,Defensemen,Fr,10-May,178.0,2003-02-27,"Stillwater, Minn.",70.0,,,,Sioux Falls,USHL,2023.0,roster_data_2023.csv,,,,,,,,7700
Minnesota State,Jordan Power,13.0,Defensemen,Gr,1-Jun,187.0,2001-07-13,"Ottawa, Ont.",73.0,,,,Clarkson,ECAC,2023.0,roster_data_2023.csv,,,,,,,,8294
Minnesota State,Jakob Stender,18.0,Defensemen,Fr,11-May,185.0,2002-08-07,"Alexandria, Minn.",71.0,,,,Fargo,USHL,2023.0,roster_data_2023.csv,,,,,,,,7904
Minnesota State,Mason Wheeler,5.0,Defensemen,So,1-Jun,201.0,2001-09-29,"Inver Grove Heights, Minn.",73.0,,,,Tri-City,USHL,2023.0,roster_data_2023.csv,,,,,,,,8216
Minnesota State,Kaden Bohlsen,26.0,Forwards,Gr,3-Jun,192.0,2001-01-10,"Willmar, Minn.",75.0,,,,Omaha,NCHC,2023.0,roster_data_2023.csv,,,,,,,,8478
Minnesota State,Brian Carrabes,28.0,Forwards,Sr,10-May,165.0,2001-08-01,"North Andover, Mass.",70.0,,,,Boston University,HEA,2023.0,roster_data_2023.csv,,,,,,,,8275
Minnesota State,Tanner Edwards,9.0,Forwards,Jr,1-Jun,177.0,2000-03-11,"Anchorage, Alaska",73.0,,,,Muskegon,USHL,2023.0,roster_data_2023.csv,,,,,,,,8783
Minnesota State,Adam Eisele,15.0,Forwards,So,1-Jun,178.0,2001-07-11,"Lake Elmo, Minn.",73.0,,,,Penticton,BCHL,2023.0,roster_data_2023.csv,,,,,,,,8296
Minnesota State,Connor Gregga,20.0,Forwards,Sr,10-May,180.0,2000-07-24,"Markham, Ont.",70.0,,,,Coquitlam,BCHL,2023.0,roster_data_2023.csv,,,,,,,,8648
Minnesota State,Josh Groll,12.0,Forwards,Sr,11-May,175.0,2001-08-09,"San Diego, Calif.",71.0,,,,Lincoln,USHL,2023.0,roster_data_2023.csv,,,,,,,,8267
Minnesota State,Tyler Haskins,11.0,Forwards,Jr,1-Jun,170.0,2003-07-07,"Rochester, Minn.",73.0,,,,Denver,NCHC,2023.0,roster_data_2023.csv,,,,,,,,7570
Minnesota State,Will Hillman,19.0,Forwards,Jr,2-Jun,181.0,2000-11-22,"Blaine, Minn.",74.0,,,,Youngstown,USHL,2023.0,roster_data_2023.csv,,,,,,,,8527
Minnesota State,Zach Krajnik,24.0,Forwards,Jr,11-May,172.0,1999-05-13,"Eagle River, Alaska",71.0,,,,Kenai River,NAHL,2023.0,roster_data_2023.csv,,,,,,,,9086
Minnesota State,Brett Moravec,4.0,Forwards,Fr,10-May,176.0,2003-02-26,"Airdrie, Alb.",70.0,,,,Penticton,BCHL,2023.0,roster_data_2023.csv,,,,,,,,7701
Minnesota State,Sam Morton,6.0,Forwards,Gr,Jun-00,180.0,1999-07-28,"Lafayette, Colo.",72.0,,,,Union,ECAC,2023.0,roster_data_2023.csv,,,,,,,,9010
Minnesota State,Kade Nielsen,14.0,Forwards,Fr,9-May,170.0,2002-08-06,"Burnsville, Minn.",69.0,,,,Chippewa,NAHL,2023.0,roster_data_2023.csv,,,,,,,,7905
Minnesota State,Brenden Olson,25.0,Forwards,Jr,1-Jun,173.0,2000-10-18,"Eau Claire, Wis.",73.0,,,,Sioux City,USHL,2023.0,roster_data_2023.csv,,,,,,,,8562
Minnesota State,Lucas Sowder,21.0,Forwards,Gr,11-May,172.0,1998-11-15,"Trinity, Fla.",71.0,,,,Wenatchee,BCHL,2023.0,roster_data_2023.csv,,,,,,,,9265
Minnesota State,Jordan Steinmetz,23.0,Forwards,Fr,8-May,160.0,1999-01-10,"Chippewa Falls, Wis.",68.0,,,,St. Lawrence,ECAC,2023.0,roster_data_2023.csv,,,,,,,,9209
Minnesota State,Luc Wilson,7.0,Forwards,So,8-May,173.0,2001-11-22,"Duncan, B.C.",68.0,,,,Penticton,BCHL,2023.0,roster_data_2023.csv,,,,,,,,8162
Minnesota State,Andrew Miller,32.0,Goaltenders,Jr,Jun-00,182.0,2000-02-10,"Boulder, Colo.",72.0,,,,Fargo,USHL,2023.0,roster_data_2023.csv,,,,,,,,8813
Minnesota State,Keenan Rancier,35.0,Goaltenders,Jr,2-Jun,185.0,2000-06-21,"Victoria, B.C.",74.0,,,,Minot,NAHL,2023.0,roster_data_2023.csv,,,,,,,,8681
Minnesota State,Alex Tracy,33.0,Goaltenders,So,Jun-00,179.0,2001-05-04,"Chicago, Ill.",72.0,,,,Sioux City,USHL,2023.0,roster_data_2023.csv,,,,,,,,8364
Boston College,Jacob Bengtsson,15.0,Defensemen,Sr,3-Jun,197.0,1999-05-08,"Stockholm, Sweden",75.0,,,,Waterloo,USHL,2023.0,roster_data_2023.csv,,,,,,,,9091
Boston College,Drew Fortescue,5.0,Defensemen,Fr,2-Jun,170.0,2005-04-28,"Pearl River, N.Y.",74.0,2023.0,NYR,3.0,USNTDP,USHL,2023.0,roster_data_2023.csv,,,,,,,,6909
Boston College,Lukas Gustafsson,8.0,Defensemen,So,10-May,190.0,2002-12-16,"Alpharetta, Ga.",70.0,,,,Chicago,USHL,2023.0,roster_data_2023.csv,,,,,,,,7773
Boston College,Aidan Hreschuk,7.0,Defensemen,Jr,11-May,178.0,2003-02-19,"Long Beach, Calif.",71.0,2021.0,CAR,3.0,USNTDP,USHL,2023.0,roster_data_2023.csv,,,,,,,,7708
Boston College,Nolan Joyce,3.0,Defensemen,Fr,1-Jun,192.0,2003-09-25,"Dedham, Mass.",73.0,,,,Chicago,USHL,2023.0,roster_data_2023.csv,,,,,,,,7490
Boston College,Charlie Leddy,4.0,Defensemen,So,1-Jun,185.0,2004-01-11,"Fairfield, Conn.",73.0,2022.0,NJD,4.0,USNTDP,USHL,2023.0,roster_data_2023.csv,,,,,,,,7382
Boston College,Aram Minnetian,17.0,Defensemen,Fr,11-May,174.0,2005-03-19,"Woodcliff Lake, N.J.",71.0,2023.0,DAL,4.0,USNTDP,USHL,2023.0,roster_data_2023.csv,,,,,,,,6949
Boston College,Eamon Powell,2.0,Defensemen,Sr,11-May,173.0,2002-05-10,"Marcellus, N.Y.",71.0,2020.0,TBL,4.0,USNTDP,USHL,2023.0,roster_data_2023.csv,,,,,,,,7993
Boston College,Colby Ambrosio,11.0,Forwards,Sr,9-May,174.0,2002-08-07,"Welland, Ont.",69.0,2020.0,COL,4.0,Tri-City,USHL,2023.0,roster_data_2023.csv,,,,,,,,7904
Boston College,Jamie Armstrong,25.0,Forwards,Gr,1-Jun,190.0,1998-08-07,"Warwick, R.I.",73.0,,,,Boston University,HEA,2023.0,roster_data_2023.csv,,,,,,,,9365
Boston College,Paul Davey,18.0,Forwards,So,2-Jun,181.0,2003-01-11,"Greenwich, Conn.",74.0,,,,Des Moines,USHL,2023.0,roster_data_2023.csv,,,,,,,,7747
Boston College,Timmy Delay,28.0,Forwards,Fr,1-Jun,170.0,2003-06-16,"Hingham, Mass.",73.0,,,,Chiliwack,BCHL,2023.0,roster_data_2023.csv,,,,,,,,7591
Boston College,Andre Gasseau,24.0,Forwards,So,4-Jun,209.0,2003-07-03,"Garden Grove, Calif.",76.0,2021.0,BOS,7.0,Fargo,USHL,2023.0,roster_data_2023.csv,,,,,,,,7574
Boston College,Cutter Gauthier,19.0,Forwards,So,2-Jun,201.0,2004-01-19,"Scottsdale, Ariz.",74.0,2022.0,PHI,1.0,USNTDP,USHL,2023.0,roster_data_2023.csv,,,,,,,,7374
Boston College,Oskar Jellvik,21.0,Forwards,So,11-May,174.0,2003-02-08,"Täby, Sweden",71.0,,,,Djurgårdens IF,SHL,2023.0,roster_data_2023.csv,,,,,,,,7719
Boston College,Connor Joyce,27.0,Forwards,Jr,Jun-00,168.0,2001-07-06,"Dedham, Mass.",72.0,,,,Jr. Rangers,NCDC,2023.0,roster_data_2023.csv,,,,,,,,8301
Boston College,Ryan Leonard,9.0,Forwards,Fr,Jun-00,192.0,2005-01-21,"Amherst, Mass.",72.0,2023.0,WSH,1.0,USNTDP,USHL,2023.0,roster_data_2023.csv,,,,,,,,7006
Boston College,Jack Malone,13.0,Forwards,Gr,1-Jun,196.0,2000-10-13,"Madison, N.J.",73.0,,,,Cornell,ECAC,2023.0,roster_data_2023.csv,,,,,,,,8567
Boston College,Gabe Perreault,34.0,Forwards,Fr,11-May,165.0,2005-05-07,"Hinsdale, Ill.",71.0,2023.0,NYR,1.0,USNTDP U-18,,2023.0,roster_data_2023.csv,,,,,,,,6900
Boston College,Mike Posma,12.0,Forwards,Jr,Jun-00,183.0,2001-12-04,"Pomona, N.Y.",72.0,,,,Omaha,USHL,2023.0,roster_data_2023.csv,,,,,,,,8150
Boston College,Gentry Shamburger,14.0,Forwards,Sr,Jun-00,196.0,2000-09-29,"Atlanta, Ga.",72.0,,,,Avon Old Farms,PREP,2023.0,roster_data_2023.csv,,,,,,,,8581
Boston College,Will Smith,6.0,Forwards,Fr,Jun-00,181.0,2005-03-17,"Lexington, Mass.",72.0,2023.0,SJS,1.0,USNTDP,USHL,2023.0,roster_data_2023.csv,,,,,,,,6951
Boston College,Will Traeger,23.0,Forwards,So,7-May,165.0,2002-04-10,"Mendota Heights, Minn.",67.0,,,,Jersey,NCDC,2023.0,roster_data_2023.csv,,,,,,,,8023
Boston College,Will Vote,22.0,Forwards,Fr,8-May,161.0,2005-02-22,"Arlington, Mass.",68.0,,,,USNTDP,USHL,2023.0,roster_data_2023.csv,,,,,,,,6974
