Date,Conference,Game_Notes,Home_Team,Home_Team_Link,Home_Score,Away_Team,Away_Team_Link,Away_Score,OT,Box_Link,Metrics_Link,Day,Game_ID
2023-10-07,Non-Conference,,Penn State,/reports/team/Penn-State/60,3,Long Island,/reports/team/Long-Island/62,2,,/box/final/20231007/psu/liu/,/box/metrics.php?gd=97447,Saturday,2023-10-07_Penn State_Long Island
2023-10-07,Non-Conference,,Lindenwood,/reports/team/Lindenwood/433,1,Air Force,/reports/team/Air-Force/1,4,,/box/final/20231007/lin/afa/,/box/metrics.php?gd=97200,Saturday,2023-10-07_Lindenwood_Air Force
2023-10-07,Non-Conference,,Bowling Green,/reports/team/Bowling-Green/11,3,Robert Morris,/reports/team/Robert-Morris/50,0,,/box/final/20231007/bgs/rmu/,/box/metrics.php?gd=97054,Saturday,2023-10-07_Bowling Green_Robert Morris
2023-10-07,Non-Conference,,Boston University,/reports/team/Boston-University/10,3,Bentley,/reports/team/Bentley/8,2,ot,/box/final/20231007/bu_/ben/,/box/metrics.php?gd=96438,Saturday,2023-10-07_Boston University_Bentley
2023-10-07,Non-Conference,,Miami,/reports/team/Miami/30,4,Ferris State,/reports/team/Ferris-State/21,5,ot,/box/final/20231007/mia/fsu/,/box/metrics.php?gd=96685,Saturday,2023-10-07_Miami_Ferris State
2023-10-07,Non-Conference,,Augustana,/reports/team/Augustana/64,0,Wisconsin,/reports/team/Wisconsin/58,4,,/box/final/20231007/aug/wis/,/box/metrics.php?gd=97055,Saturday,2023-10-07_Augustana_Wisconsin
2023-10-07,Non-Conference,,Mass.-Lowell,/reports/team/Mass-Lowell/26,2,Alaska-Anchorage,/reports/team/Alaska-Anchorage/3,3,ot,/box/final/20231007/uml/aka/,/box/metrics.php?gd=96440,Saturday,2023-10-07_Mass.-Lowell_Alaska-Anchorage
2023-10-07,Non-Conference,US Hockey Hall of Fame Game,Michigan Tech,/reports/team/Michigan-Tech/33,2,Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,2,ot,/box/final/20231007/mtu/mnd/,/box/metrics.php?gd=96686,Saturday,2023-10-07_Michigan Tech_Minnesota-Duluth
2023-10-07,Non-Conference,,Denver,/reports/team/Denver/20,7,Alaska,/reports/team/Alaska/4,3,,/box/final/20231007/den/akf/,/box/metrics.php?gd=96688,Saturday,2023-10-07_Denver_Alaska
2023-10-08,Non-Conference,,Union,/reports/team/Union/54,6,Army,/reports/team/Army/6,0,,/box/final/20231008/uni/arm/,/box/metrics.php?gd=96882,Sunday,2023-10-08_Union_Army
2023-10-08,Non-Conference,,Connecticut,/reports/team/Connecticut/17,3,Colgate,/reports/team/Colgate/15,3,ot,/box/final/20231008/con/clg/,/box/metrics.php?gd=96880,Sunday,2023-10-08_Connecticut_Colgate
2023-10-08,Non-Conference,,Lake Superior,/reports/team/Lake-Superior/24,2,Michigan State,/reports/team/Michigan-State/32,4,,/box/final/20231008/lss/msu/,/box/metrics.php?gd=97056,Sunday,2023-10-08_Lake Superior_Michigan State
2023-10-08,Non-Conference,,Providence,/reports/team/Providence/46,4,Michigan,/reports/team/Michigan/31,5,,/box/final/20231008/prv/mic/,/box/metrics.php?gd=96448,Sunday,2023-10-08_Providence_Michigan
2023-10-08,Non-Conference,,St. Cloud State,/reports/team/St-Cloud-State/52,1,St. Thomas,/reports/team/St-Thomas/63,0,,/box/final/20231008/stc/stt/,/box/metrics.php?gd=96694,Sunday,2023-10-08_St. Cloud State_St. Thomas
2023-10-08,Non-Conference,,Clarkson,/reports/team/Clarkson/14,0,Notre Dame,/reports/team/Notre-Dame/43,3,,/box/final/20231008/clk/ndm/,/box/metrics.php?gd=96883,Sunday,2023-10-08_Clarkson_Notre Dame
2023-10-08,Non-Conference,,Miami,/reports/team/Miami/30,5,Ferris State,/reports/team/Ferris-State/21,2,,/box/final/20231008/mia/fsu/,/box/metrics.php?gd=96693,Sunday,2023-10-08_Miami_Ferris State
2023-10-08,Non-Conference,,Robert Morris,/reports/team/Robert-Morris/50,3,Bowling Green,/reports/team/Bowling-Green/11,0,,/box/final/20231008/rmu/bgs/,/box/metrics.php?gd=97057,Sunday,2023-10-08_Robert Morris_Bowling Green
2023-10-08,Non-Conference,,Augustana,/reports/team/Augustana/64,0,Wisconsin,/reports/team/Wisconsin/58,3,,/box/final/20231008/aug/wis/,/box/metrics.php?gd=97058,Sunday,2023-10-08_Augustana_Wisconsin
2023-10-08,Non-Conference,,Long Island,/reports/team/Long-Island/62,2,Holy Cross,/reports/team/Holy-Cross/23,5,,/box/final/20231008/liu/hcr/,/box/metrics.php?gd=97204,Sunday,2023-10-08_Long Island_Holy Cross
2023-10-08,Non-Conference,,Lindenwood,/reports/team/Lindenwood/433,4,Air Force,/reports/team/Air-Force/1,3,ot,/box/final/20231008/lin/afa/,/box/metrics.php?gd=97203,Sunday,2023-10-08_Lindenwood_Air Force
2023-10-08,Non-Conference,,Mass.-Lowell,/reports/team/Mass-Lowell/26,2,Alaska-Anchorage,/reports/team/Alaska-Anchorage/3,1,,/box/final/20231008/uml/aka/,/box/metrics.php?gd=96446,Sunday,2023-10-08_Mass.-Lowell_Alaska-Anchorage
2023-10-08,Non-Conference,,Denver,/reports/team/Denver/20,5,Alaska,/reports/team/Alaska/4,2,,/box/final/20231008/den/akf/,/box/metrics.php?gd=96695,Sunday,2023-10-08_Denver_Alaska
2023-10-08,Exhibition,,Guelph,,4,Rensselaer,/reports/team/Rensselaer/48,6,,/box/final/20231008/gue/ren/,,Sunday,2023-10-08_Guelph_Rensselaer
2023-10-08,Exhibition,,Canisius,/reports/team/Canisius/13,5,Niagara,/reports/team/Niagara/39,2,,/box/final/20231008/cns/nia/,,Sunday,2023-10-08_Canisius_Niagara
2023-10-08,Exhibition,,Quinnipiac,/reports/team/Quinnipiac/47,2,Northeastern,/reports/team/Northeastern/41,2,ot,/box/final/20231008/qui/noe/,,Sunday,2023-10-08_Quinnipiac_Northeastern
2023-10-08,Exhibition,,Massachusetts,/reports/team/Massachusetts/27,5,Dartmouth,/reports/team/Dartmouth/19,1,,/box/final/20231008/uma/dar/,,Sunday,2023-10-08_Massachusetts_Dartmouth
2023-10-08,Exhibition,,Ottawa,,2,Sacred Heart,/reports/team/Sacred-Heart/51,8,,/box/final/20231008/ott/sac/,,Sunday,2023-10-08_Ottawa_Sacred Heart
2023-10-08,Exhibition,,Bemidji State,/reports/team/Bemidji-State/7,2,Minnesota,/reports/team/Minnesota/34,5,,/box/final/20231008/bmj/min/,,Sunday,2023-10-08_Bemidji State_Minnesota
