Date,Conference,Home_Team,Home_Team_Link,Home_Score,Away_Team,Away_Team_Link,Away_Score,OT,Game_Notes,Day
1903-12-16,Non-Conference,Yale,/reports/team/Yale/59,3,New York HC,,3,,,Wednesday
1903-12-29,Non-Conference,Princeton,/reports/team/Princeton/45,2,Yale,/reports/team/Yale/59,2,,"at Duquesne Gardens, Pittsburgh, Pa.",Tuesday
1903-12-30,Non-Conference,Princeton,/reports/team/Princeton/45,1,Yale,/reports/team/Yale/59,2,,"at Duquesne Gardens, Pittsburgh, Pa.",Wednesday
1903-12-31,Non-Conference,Princeton,/reports/team/Princeton/45,2,Yale,/reports/team/Yale/59,1,,"at Duquesne Gardens, Pittsburgh, Pa.",Thursday
1904-01-01,Non-Conference,Yale,/reports/team/Yale/59,4,Pittsburgh AC,,10,,,Friday
1904-01-06,Non-Conference,Yale Alumni,,4,Yale,/reports/team/Yale/59,2,,,Wednesday
1904-01-09,Non-Conference,Brown,/reports/team/Brown/12,0,Princeton,/reports/team/Princeton/45,1,,,Saturday
1904-01-20,Non-Conference,Brown,/reports/team/Brown/12,2,Andover Acad.,,1,,,Wednesday
1904-02-06,Non-Conference,Brown,/reports/team/Brown/12,0,Columbia,,3,,,Saturday
1904-02-24,Non-Conference,Columbia,,2,18,/reports/team/18/18,0,,"at St. Nicholas Rink, New York",Wednesday
1903-11-30,Non-Conference,Riverview A.C.,,1,Army,/reports/team/Army/6,8,,,Monday
1903-11-30,Non-Conference,Kingston Militar,,0,Army,/reports/team/Army/6,11,,,Monday
1903-11-30,Non-Conference,Holbrook,,0,Army,/reports/team/Army/6,8,,,Monday
1903-11-30,Non-Conference,Newburgh Alumni,,3,Army,/reports/team/Army/6,4,,,Monday
1903-11-30,Non-Conference,Mohegan Lake Sch,,4,Army,/reports/team/Army/6,1,,,Monday
1903-11-30,Non-Conference,Newburgh Academy,,1,Army,/reports/team/Army/6,7,,,Monday
1904-11-30,,Yale Alumni,,3,Yale,/reports/team/Yale/59,9,,,Wednesday
1904-11-30,,Yale Alumni,,4,Yale,/reports/team/Yale/59,7,,,Wednesday
1904-11-30,Non-Conference,Yale Alumni,,9,Yale,/reports/team/Yale/59,6,,,Wednesday
1904-11-30,Non-Conference,New York A.C.,,3,Yale,/reports/team/Yale/59,4,,,Wednesday
1904-11-30,Non-Conference,Brooklyn Poly. I,,2,Army,/reports/team/Army/6,6,,,Wednesday
1904-11-30,Non-Conference,Newburgh Academy,,0,Army,/reports/team/Army/6,4,,,Wednesday
1904-11-30,Non-Conference,Newburgh Alumni,,0,Army,/reports/team/Army/6,3,,,Wednesday
1904-11-30,Non-Conference,"Essex Troop, NJN",,0,Army,/reports/team/Army/6,2,,,Wednesday
1904-11-30,Non-Conference,Mohegan Lake Sch,,1,Army,/reports/team/Army/6,2,,,Wednesday
1904-11-30,Non-Conference,Riverview M.A.,,0,Army,/reports/team/Army/6,2,,,Wednesday
1904-11-30,Non-Conference,St. Paul's Schoo,,2,Army,/reports/team/Army/6,1,,,Wednesday
1905-01-14,Intercollegiate,Columbia,,0,Harvard,/reports/team/Harvard/22,5,,,Saturday
1905-01-18,Intercollegiate,Yale,/reports/team/Yale/59,9,Columbia,,3,,,Wednesday
1905-01-21,Intercollegiate,Harvard,/reports/team/Harvard/22,6,Princeton,/reports/team/Princeton/45,5,,,Saturday
1905-01-28,Intercollegiate,Brown,/reports/team/Brown/12,0,Yale,/reports/team/Yale/59,11,,,Saturday
1905-02-08,Intercollegiate,Harvard,/reports/team/Harvard/22,15,Brown,/reports/team/Brown/12,1,,,Wednesday
1905-02-11,Intercollegiate,Princeton,/reports/team/Princeton/45,3,Yale,/reports/team/Yale/59,9,,,Saturday
1905-02-18,Intercollegiate,Harvard,/reports/team/Harvard/22,7,Yale,/reports/team/Yale/59,1,,"at St. Nicholas Rink, New York",Saturday
1904-12-28,Non-Conference,Toronto,,2,Yale,/reports/team/Yale/59,1,,"at Duquesne Gardens, Pittsburgh, Pa.",Wednesday
1904-12-29,Non-Conference,All Scholastic,,1,Yale,/reports/team/Yale/59,2,,"at Duquesne Gardens, Pittsburgh, Pa.",Thursday
1904-12-30,Non-Conference,Toronto,,3,Yale,/reports/team/Yale/59,2,,"at Duquesne Gardens, Pittsburgh, Pa.",Friday
1904-12-31,Non-Conference,Toronto,,7,Yale,/reports/team/Yale/59,3,,"at Duquesne Gardens, Pittsburgh, Pa.",Saturday
1904-12-01,Non-Conference,Mohegan Lake Sch,,2,Army,/reports/team/Army/6,3,,,Thursday
1905-01-07,Non-Conference,Hope H.S.,,3,Brown,/reports/team/Brown/12,2,,,Saturday
1905-01-11,Non-Conference,MIT,,0,Harvard,/reports/team/Harvard/22,25,,,Wednesday
1905-01-11,Non-Conference,Brown,/reports/team/Brown/12,0,Princeton,/reports/team/Princeton/45,6,,,Wednesday
1905-02-04,Non-Conference,Brown,/reports/team/Brown/12,2,Columbia,,5,,,Saturday
1905-11-30,,New York A.C.,,5,Yale,/reports/team/Yale/59,5,,,Thursday
1905-11-30,Non-Conference,New York HC,,5,Yale,/reports/team/Yale/59,4,,,Thursday
1905-11-30,Non-Conference,Berkeley,,0,Army,/reports/team/Army/6,4,,,Thursday
1905-11-30,Non-Conference,St. Paul's Schoo,,0,Army,/reports/team/Army/6,6,,,Thursday
1905-11-30,Non-Conference,Brooklyn Poly. I,,1,Army,/reports/team/Army/6,2,,,Thursday
1905-11-30,Non-Conference,48,/reports/team/48/48,2,Army,/reports/team/Army/6,3,,,Thursday
1905-11-30,Non-Conference,Kingston Militar,,1,Army,/reports/team/Army/6,8,,,Thursday
1905-11-30,Non-Conference,Trinity,,9,Army,/reports/team/Army/6,7,,,Thursday
1906-01-13,Intercollegiate,Harvard,/reports/team/Harvard/22,7,Columbia,,0,,,Saturday
1906-01-17,Intercollegiate,Brown,/reports/team/Brown/12,0,Yale,/reports/team/Yale/59,9,,,Wednesday
1906-01-20,Intercollegiate,Harvard,/reports/team/Harvard/22,3,Princeton,/reports/team/Princeton/45,2,,,Saturday
1906-01-20,Non-Conference,Brown,/reports/team/Brown/12,0,Andover Acad.,,3,,,Saturday
1906-01-27,Intercollegiate,Yale,/reports/team/Yale/59,4,Columbia,,0,,,Saturday
1906-02-07,Intercollegiate,Brown,/reports/team/Brown/12,0,Harvard,/reports/team/Harvard/22,4,,,Wednesday
1906-02-10,Intercollegiate,Princeton,/reports/team/Princeton/45,0,Yale,/reports/team/Yale/59,3,,Washington Post has 2-0,Saturday
1906-02-17,Intercollegiate,Harvard,/reports/team/Harvard/22,4,Yale,/reports/team/Yale/59,3,ot,"at St. Nicholas Rink, New York",Saturday
1905-12-27,Non-Conference,Brown,/reports/team/Brown/12,0,Yale,/reports/team/Yale/59,7,,"at Duquesne Gardens, Pittsburgh, Pa.",Wednesday
1905-12-28,Non-Conference,Brown,/reports/team/Brown/12,1,Yale,/reports/team/Yale/59,7,,"at Duquesne Gardens, Pittsburgh, Pa.",Thursday
1905-12-29,Non-Conference,Brown,/reports/team/Brown/12,1,Yale,/reports/team/Yale/59,3,,"at Duquesne Gardens, Pittsburgh, Pa.",Friday
1905-12-30,Non-Conference,Yale,/reports/team/Yale/59,5,Carnegie Tech,,0,,,Saturday
1906-01-10,Non-Conference,Brown,/reports/team/Brown/12,4,Princeton,/reports/team/Princeton/45,5,,,Wednesday
1906-02-03,Non-Conference,Brown,/reports/team/Brown/12,1,Columbia,,2,,,Saturday
1907-01-12,Intercollegiate,Harvard,/reports/team/Harvard/22,7,Columbia,,0,,,Saturday
1907-01-16,Intercollegiate,Dartmouth,/reports/team/Dartmouth/19,4,Yale,/reports/team/Yale/59,2,,"at St. Nicholas Rink, New York",Wednesday
1907-01-19,Intercollegiate,Harvard,/reports/team/Harvard/22,3,Princeton,/reports/team/Princeton/45,4,,,Saturday
1907-01-26,Intercollegiate,Yale,/reports/team/Yale/59,4,Columbia,,3,ot,,Saturday
1907-02-07,Intercollegiate,Dartmouth,/reports/team/Dartmouth/19,3,Harvard,/reports/team/Harvard/22,12,,,Thursday
1907-02-09,Intercollegiate,Princeton,/reports/team/Princeton/45,2,Yale,/reports/team/Yale/59,1,,"at St. Nicholas Rink, New York",Saturday
1907-02-09,Non-Conference,49,/reports/team/49/49,0,Cornell,/reports/team/Cornell/18,7,,,Saturday
1907-02-09,Non-Conference,McGill,,8,Harvard,/reports/team/Harvard/22,2,,,Saturday
1907-02-16,Intercollegiate,Harvard,/reports/team/Harvard/22,3,Yale,/reports/team/Yale/59,2,,"at St. Nicholas Rink, New York",Saturday
1907-02-16,Non-Conference,Army,/reports/team/Army/6,0,Cornell,/reports/team/Cornell/18,4,,,Saturday
1906-12-16,Non-Conference,New York HC,,5,Yale,/reports/team/Yale/59,2,,,Sunday
1907-01-02,Non-Conference,Yale,/reports/team/Yale/59,2,Carnegie Tech,,0,,,Wednesday
1907-01-03,Non-Conference,Yale,/reports/team/Yale/59,2,Western U. Penn,,0,,,Thursday
1907-01-04,Non-Conference,Queen's,,1,Yale,/reports/team/Yale/59,0,,"at Duquesne Gardens, Pittsburgh, Pa.",Friday
1907-01-05,Non-Conference,Queen's,,2,Yale,/reports/team/Yale/59,0,,"at Duquesne Gardens, Pittsburgh, Pa.",Saturday
1907-01-10,Non-Conference,MIT,,0,Harvard,/reports/team/Harvard/22,8,,"at Brae Burn Rink, West Newton, Mass.",Thursday
1906-11-30,Non-Conference,Newburgh Academy,,0,Army,/reports/team/Army/6,6,,,Friday
1906-11-30,Non-Conference,Riverview M.A.,,3,Army,/reports/team/Army/6,0,,,Friday
1906-11-30,Non-Conference,Trinity,,0,Army,/reports/team/Army/6,1,,,Friday
1906-11-30,Non-Conference,Albany H.S,,12,Army,/reports/team/Army/6,0,,,Friday
1906-11-30,Non-Conference,St. Paul's Schoo,,2,Army,/reports/team/Army/6,0,,,Friday
1906-11-30,Non-Conference,Cornell,/reports/team/Cornell/18,4,Army,/reports/team/Army/6,0,,,Friday
1906-11-30,Non-Conference,Cutler School,,1,Army,/reports/team/Army/6,7,,,Friday
1906-11-30,Non-Conference,RPI,/reports/team/RPI/48,2,Army,/reports/team/Army/6,1,,,Friday
1906-11-30,Non-Conference,London Field Clu,,3,Army,/reports/team/Army/6,0,,,Friday
1908-01-11,Intercollegiate,Harvard,/reports/team/Harvard/22,14,Columbia,,1,,,Saturday
1908-01-15,Intercollegiate,Dartmouth,/reports/team/Dartmouth/19,3,Yale,/reports/team/Yale/59,9,,,Wednesday
1908-01-18,Intercollegiate,Harvard,/reports/team/Harvard/22,6,Princeton,/reports/team/Princeton/45,2,,,Saturday
1908-01-18,Non-Conference,Cornell,/reports/team/Cornell/18,2,Army,/reports/team/Army/6,0,,,Saturday
1908-01-24,Intercollegiate,Yale,/reports/team/Yale/59,10,Columbia,,1,,,Friday
1908-02-08,Intercollegiate,Dartmouth,/reports/team/Dartmouth/19,3,Harvard,/reports/team/Harvard/22,10,,,Saturday
1908-02-08,Intercollegiate,Princeton,/reports/team/Princeton/45,4,Yale,/reports/team/Yale/59,6,,,Saturday
1908-02-15,Intercollegiate,Harvard,/reports/team/Harvard/22,2,Yale,/reports/team/Yale/59,3,,"at St. Nicholas Rink, New York",Saturday
1907-11-30,Non-Conference,Cascadilla,,0,Cornell,/reports/team/Cornell/18,5,,,Saturday
1907-11-30,Non-Conference,Yale,/reports/team/Yale/59,1,St. Nick's,,3,,,Saturday
1907-11-30,Non-Conference,Phila. Wanderers,,10,Yale,/reports/team/Yale/59,3,,,Saturday
1907-11-30,Non-Conference,Riverview M.A.,,1,Army,/reports/team/Army/6,5,,,Saturday
1907-11-30,Non-Conference,Trinity,,0,Army,/reports/team/Army/6,6,,,Saturday
1907-11-30,Non-Conference,Albany H.S,,1,Army,/reports/team/Army/6,3,,,Saturday
1907-11-30,Non-Conference,Cornell,/reports/team/Cornell/18,2,Army,/reports/team/Army/6,0,,,Saturday
1907-11-30,Non-Conference,Pawling School,,3,Army,/reports/team/Army/6,2,,,Saturday
1907-11-30,Non-Conference,NYNG 7th Regimen,,0,Army,/reports/team/Army/6,1,,,Saturday
1907-11-30,Non-Conference,MIT,,1,Army,/reports/team/Army/6,2,,,Saturday
1908-01-04,Non-Conference,Crescent AC,,6,Yale,/reports/team/Yale/59,1,,"at St. Nicholas Rink, New York",Saturday
1908-01-25,Non-Conference,McGill,,2,Harvard,/reports/team/Harvard/22,8,,,Saturday
1908-01-28,Non-Conference,49,/reports/team/49/49,0,Cornell,/reports/team/Cornell/18,10,,,Tuesday
1908-01-31,Non-Conference,Cornell,/reports/team/Cornell/18,4,RPI,/reports/team/RPI/48,0,,,Friday
1908-02-05,Non-Conference,MIT,,1,Yale,/reports/team/Yale/59,7,,,Wednesday
1908-02-13,Non-Conference,Crescent AC,,4,Yale,/reports/team/Yale/59,1,,,Thursday
1908-02-22,Non-Conference,Harvard,/reports/team/Harvard/22,4,Bishop's,,0,,,Saturday
1909-01-09,Intercollegiate,Harvard,/reports/team/Harvard/22,5,Columbia,,1,,,Saturday
1909-01-15,Intercollegiate,Dartmouth,/reports/team/Dartmouth/19,3,Yale,/reports/team/Yale/59,2,,,Friday
1909-01-16,Intercollegiate,Harvard,/reports/team/Harvard/22,3,Princeton,/reports/team/Princeton/45,2,,,Saturday
1909-01-30,Intercollegiate,Cornell,/reports/team/Cornell/18,3,Yale,/reports/team/Yale/59,6,,"at St. Nicholas Rink, New York",Saturday
1909-02-03,Intercollegiate,Columbia,,4,Yale,/reports/team/Yale/59,11,,,Wednesday
1909-02-13,Intercollegiate,Princeton,/reports/team/Princeton/45,5,Yale,/reports/team/Yale/59,5,,"at St. Nicholas Rink, New York",Saturday
1909-02-20,Intercollegiate,Harvard,/reports/team/Harvard/22,5,Yale,/reports/team/Yale/59,0,,"at St. Nicholas Rink, New York",Saturday
1909-02-22,Intercollegiate,Dartmouth,/reports/team/Dartmouth/19,0,Harvard,/reports/team/Harvard/22,1,,"at St. Nicholas Rink, New York",Monday
1908-12-14,Non-Conference,Phila. Wanderers,,3,Yale,/reports/team/Yale/59,0,,"at St. Nicholas Rink, New York",Monday
1908-12-29,Non-Conference,Yale,/reports/team/Yale/59,4,Carnegie Tech,,2,,,Tuesday
1908-12-31,Non-Conference,Pennsylvania,,2,Cornell,/reports/team/Cornell/18,2,,"at Elysium Arena, Cleveland",Thursday
1908-12-31,Non-Conference,Princeton,/reports/team/Princeton/45,2,Yale,/reports/team/Yale/59,0,,"at Duquesne Gardens, Pittsburgh, Pa.",Thursday
1908-11-30,Non-Conference,Williams,,8,Cornell,/reports/team/Cornell/18,2,,"at Albany, N.Y.",Monday
1908-11-30,Non-Conference,Pawling School,,1,Army,/reports/team/Army/6,1,,,Monday
1908-11-30,Non-Conference,Brooklyn Poly. I,,2,Army,/reports/team/Army/6,1,,,Monday
1909-01-01,Non-Conference,Pennsylvania,,1,Cornell,/reports/team/Cornell/18,2,,"at Elysium Arena, Cleveland",Friday
1909-01-01,Non-Conference,Princeton,/reports/team/Princeton/45,1,Yale,/reports/team/Yale/59,0,,"at Duquesne Gardens, Pittsburgh, Pa.",Friday
1909-01-02,Non-Conference,Princeton,/reports/team/Princeton/45,4,Yale,/reports/team/Yale/59,0,,"at Duquesne Gardens, Pittsburgh, Pa.",Saturday
1909-01-07,Non-Conference,MIT,,0,Harvard,/reports/team/Harvard/22,1,,"at Brae Burn Rink, West Newton, Mass.",Thursday
1909-01-13,Non-Conference,Williams,,2,Harvard,/reports/team/Harvard/22,10,,,Wednesday
1909-01-22,Non-Conference,RPI,/reports/team/RPI/48,2,Yale,/reports/team/Yale/59,3,,,Friday
1909-01-23,Non-Conference,Louden FC,,3,Yale,/reports/team/Yale/59,2,,,Saturday
1909-01-25,Non-Conference,St. Francis Xav.,,0,Harvard,/reports/team/Harvard/22,1,,,Monday
1909-01-27,Non-Conference,Laval,,0,Harvard,/reports/team/Harvard/22,3,,,Wednesday
1909-01-29,Non-Conference,Cornell,/reports/team/Cornell/18,2,RPI,/reports/team/RPI/48,3,,,Friday
1909-02-05,Non-Conference,Cornell,/reports/team/Cornell/18,0,Dartmouth,/reports/team/Dartmouth/19,1,,,Friday
1909-02-06,Non-Conference,Phila. Wanderers,,3,Yale,/reports/team/Yale/59,2,,"at St. Nicholas Rink, New York",Saturday
1910-01-05,Intercollegiate,Princeton,/reports/team/Princeton/45,1,Cornell,/reports/team/Cornell/18,0,,"at St. Nicholas Rink, New York",Wednesday
1910-01-05,Non-Conference,MIT,,1,Harvard,/reports/team/Harvard/22,4,,,Wednesday
1910-01-08,Intercollegiate,Cornell,/reports/team/Cornell/18,0,Harvard,/reports/team/Harvard/22,5,,"at St. Nicholas Rink, New York",Saturday
1910-01-12,Intercollegiate,Columbia,,0,Harvard,/reports/team/Harvard/22,6,,,Wednesday
1910-01-15,Intercollegiate,Harvard,/reports/team/Harvard/22,0,Princeton,/reports/team/Princeton/45,3,,,Saturday
1910-01-26,Intercollegiate,Princeton,/reports/team/Princeton/45,2,Yale,/reports/team/Yale/59,1,,"at St. Nicholas Rink, New York",Wednesday
1910-02-05,Intercollegiate,Cornell,/reports/team/Cornell/18,3,Yale,/reports/team/Yale/59,1,,"at St. Nicholas Rink, New York",Saturday
1910-02-05,Non-Conference,St. Francis Xav.,,4,Harvard,/reports/team/Harvard/22,1,,,Saturday
1910-02-10,Intercollegiate,Columbia,,1,Yale,/reports/team/Yale/59,5,,,Thursday
1910-02-12,Intercollegiate,Dartmouth,/reports/team/Dartmouth/19,0,Harvard,/reports/team/Harvard/22,5,,,Saturday
1910-02-12,Non-Conference,Yale,/reports/team/Yale/59,3,St. Paul's Schoo,,4,,,Saturday
1910-02-16,Intercollegiate,Dartmouth,/reports/team/Dartmouth/19,3,Yale,/reports/team/Yale/59,5,,,Wednesday
1910-02-19,Intercollegiate,Harvard,/reports/team/Harvard/22,3,Yale,/reports/team/Yale/59,0,,"at St. Nicholas Rink, New York",Saturday
1910-02-26,Intercollegiate,Columbia,,1,Cornell,/reports/team/Cornell/18,7,,"at St. Nicholas Rink, New York",Saturday
1909-12-28,Non-Conference,Yale,/reports/team/Yale/59,4,Carnegie Tech,,1,,,Tuesday
1909-12-29,Non-Conference,Princeton,/reports/team/Princeton/45,2,Yale,/reports/team/Yale/59,1,,"at Duquesne Gardens, Pittsburgh, Pa.",Wednesday
1909-12-30,Non-Conference,Princeton,/reports/team/Princeton/45,1,Yale,/reports/team/Yale/59,2,,"at Duquesne Gardens, Pittsburgh, Pa.",Thursday
1909-12-31,Non-Conference,Princeton,/reports/team/Princeton/45,5,Yale,/reports/team/Yale/59,2,,"at Duquesne Gardens, Pittsburgh, Pa.",Friday
1910-01-01,Non-Conference,Cornell,/reports/team/Cornell/18,3,Yale,/reports/team/Yale/59,5,,"at Elysium Arena, Cleveland",Saturday
1910-01-03,Non-Conference,Cornell,/reports/team/Cornell/18,2,Yale,/reports/team/Yale/59,4,,"at Elysium Arena, Cleveland",Monday
1910-01-04,Non-Conference,Cornell,/reports/team/Cornell/18,3,Yale,/reports/team/Yale/59,1,,"at Elysium Arena, Cleveland",Tuesday
1910-01-16,Non-Conference,Yale,/reports/team/Yale/59,5,Mass. Agricultural,/reports/team/Mass-Agricultural/27,3,,,Sunday
1910-02-01,Non-Conference,MIT,,0,Yale,/reports/team/Yale/59,3,,,Tuesday
1909-11-30,Non-Conference,MIT,,3,Army,/reports/team/Army/6,0,,,Tuesday
1909-11-30,Non-Conference,Springfield Trai,,1,Army,/reports/team/Army/6,1,,,Tuesday
1909-11-30,Non-Conference,Pennsylvania,,0,Army,/reports/team/Army/6,0,,,Tuesday
1909-11-30,Non-Conference,Princeton,/reports/team/Princeton/45,1,Army,/reports/team/Army/6,0,,,Tuesday
1909-11-30,Non-Conference,Columbia,,0,Army,/reports/team/Army/6,0,,,Tuesday
1909-11-30,Non-Conference,NYNG 7th Regimen,,4,Army,/reports/team/Army/6,0,,,Tuesday
1909-11-30,Non-Conference,RPI,/reports/team/RPI/48,3,Army,/reports/team/Army/6,0,,,Tuesday
1911-01-11,Intercollegiate,Columbia,,6,Yale,/reports/team/Yale/59,4,,,Wednesday
1911-01-11,Non-Conference,St. Francis Xav.,,2,Harvard,/reports/team/Harvard/22,8,,,Wednesday
1911-01-14,Intercollegiate,Princeton,/reports/team/Princeton/45,1,Cornell,/reports/team/Cornell/18,4,,"at St. Nicholas Rink, New York",Saturday
1911-01-14,Intercollegiate,Dartmouth,/reports/team/Dartmouth/19,2,Yale,/reports/team/Yale/59,7,,,Saturday
1911-01-16,Intercollegiate,Columbia,,0,Harvard,/reports/team/Harvard/22,5,,,Monday
