Team,Player,No,Position,Position,Yr,Ht,Wt,DOB,Hometown,Position,Position,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League
New Hampshire,Luke Reid,16,Defensemen,Defensemen,Sr,6-0,192,9/26/2001,"Warman, Sask.",Defensemen,Defensemen,72,2020,NSH,6,Chicago,USHL
New Hampshire,Harrison Blaisdell,18,Forwards,Forwards,Gr,5-11,190,3/18/2001,"Regina, Sask.",Forwards,Forwards,71,2019,WPG,5,North Dakota,NCHC
New Hampshire,Nick Cafarelli,11,Forwards,Forwards,Sr,5-10,182,12/31/2001,"Middleton, Mass.",Forwards,Forwards,70,,,,Wenatchee,BCHL
New Hampshire,Ryan Conmy,36,Forwards,Forwards,Fr,5-10,190,10/23/2004,"Alexandria, Va.",Forwards,Forwards,70,2023,LAK,6,Sioux City,USHL
New Hampshire,Robert Cronin,24,Forwards,Forwards,Jr,5-10,187,8/15/2000,"Plymouth, Mass.",Forwards,Forwards,70,,,,Dubuque,USHL
New Hampshire,Liam Devlin,12,Forwards,Forwards,Jr,5-11,192,1/7/2001,"Needham, Mass.",Forwards,Forwards,71,,,,Omaha,USHL
New Hampshire,Cam Gendron,21,Forwards,Forwards,Sr,6-3,181,2/5/1999,"Hampstead, N.H.",Forwards,Forwards,75,,,,New Jersey,NAHL
New Hampshire,Marty Lavins,6,Forwards,Forwards,Fr,6-1,185,4/10/2003,"Riga, Latvia",Forwards,Forwards,73,,,,Cedar Rapids,USHL
New Hampshire,Cy LeClerc,29,Forwards,Forwards,So,5-9,175,8/17/2002,"Brentwood, N.H.",Forwards,Forwards,69,,,,Janesville,NAHL
New Hampshire,Conor Lovett,3,Forwards,Forwards,Jr,5-11,200,4/7/2001,"Franklin, Mass.",Forwards,Forwards,71,,,,Lawrence Academy,PREP
New Hampshire,Nick Ring,25,Forwards,Forwards,Fr,5-10,180,10/26/2003,"Hingham, Mass.",Forwards,Forwards,70,,,,Sioux Falls,USHL
New Hampshire,Stiven Sardarian,7,Forwards,Forwards,So,6-1,170,2/7/2003,"St. Petersburg, Russia",Forwards,Forwards,73,2021,BUF,3,Youngstown,USHL
New Hampshire,Jason Siedem,23,Forwards,Forwards,Fr,5-10,185,10/17/2002,"Madison, N.J.",Forwards,Forwards,70,,,,Blackfalds,AJHL
New Hampshire,Kristaps Skrastins,17,Forwards,Forwards,So,5-10,180,11/20/2001,"Riga, Latvia",Forwards,Forwards,70,,,,Amarillo,NAHL
New Hampshire,Connor Sweeney,9,Forwards,Forwards,Jr,6-2,200,5/5/2000,"North Andover, Mass.",Forwards,Forwards,74,,,,Islanders Hockey Club,NCDC
New Hampshire,J.P. Turner,22,Forwards,Forwards,Fr,6-0,195,1/31/2003,"East Falmouth, Mass.",Forwards,Forwards,72,,,,Fargo,USHL
New Hampshire,Ronan Walsh,10,Forwards,Forwards,Fr,6-4,210,5/3/2002,"Andover, N.H.",Forwards,Forwards,76,,,,Amarillo,NAHL
New Hampshire,Morgan Winters,26,Forwards,Forwards,So,5-11,165,12/8/2001,"Osprey, Fla.",Forwards,Forwards,71,,,,Omaha,USHL
New Hampshire,Jeremy Forman,1,Goaltenders,Goaltenders,Sr,5-10,150,9/22/1999,"Northbrook, Ill.",Goaltenders,Goaltenders,70,,,,Corpus Christi,NAHL
New Hampshire,Raphael Gaughan,35,Goaltenders,Goaltenders,Sr,6-1,185,2/11/2000,"Somersworth, N.H.",Goaltenders,Goaltenders,73,,,,Northeast,NA3NHL
New Hampshire,Jakob Hellsten,37,Goaltenders,Goaltenders,Sr,6-0,185,2/2/2000,"Ljusdal, Sweden",Goaltenders,Goaltenders,72,,,,North Dakota,NCHC
New Hampshire,Tyler Muszelik,30,Goaltenders,Goaltenders,So,6-3,190,7/1/2004,"Long Valley, N.J.",Goaltenders,Goaltenders,75,2022,FLA,6,USNTDP,USHL
Western Michigan,Jacob Bauer,2,Defensemen,Defensemen,Sr,6-3,202,2/25/2002,"Detroit, Mich.",Defensemen,Defensemen,75,,,,Lincoln,USHL
Western Michigan,Carter Berger,23,Defensemen,Defensemen,Gr,6-0,185,9/17/1999,"North Vancouver, B.C.",Defensemen,Defensemen,72,2019,FLA,4,Connecticut,HEA
Western Michigan,Cole Crusberg-Roseen,3,Defensemen,Defensemen,Fr,5-11,184,4/14/2002,"Stratham, N.H.",Defensemen,Defensemen,71,,,,Lincoln,USHL
Western Michigan,Cedric Fiedler,17,Defensemen,Defensemen,Sr,6-3,204,4/20/2001,"Zug, Switzerland",Defensemen,Defensemen,75,,,,Fargo,USHL
Western Michigan,Zak Galambos,4,Defensemen,Defensemen,Gr,6-2,190,5/27/1997,"Walnut Creek, Calif.",Defensemen,Defensemen,74,,,,American Int'l,AHA
Western Michigan,Daniel Hilsendager,15,Defensemen,Defensemen,Sr,6-1,200,3/30/2000,"Lloydminster, Sask.",Defensemen,Defensemen,73,,,,Omaha,USHL
Western Michigan,Jacob Napier,6,Defensemen,Defensemen,Fr,6-2,190,3/31/2003,"Lancaster, N.Y.",Defensemen,Defensemen,74,,,,Fargo,USHL
Western Michigan,Samuel Sjolund,33,Defensemen,Defensemen,So,6-1,175,5/19/2001,"Stockholm, Sweden",Defensemen,Defensemen,73,,,,Dubuque ,USHL
Western Michigan,Trevor Bishop,22,Forwards,Forwards,Sr,6-0,185,1/23/1999,"Rochester Hills, Mich.",Forwards,Forwards,72,,,,Victoria,BCHL
Western Michigan,Alex Bump,20,Forwards,Forwards,Fr,6-0,194,11/20/2003,"Prior Lake, Minn.",Forwards,Forwards,72,2022,PHI,5,Tri-City,USHL
Western Michigan,Cole Burtch,27,Forwards,Forwards,Fr,5-10,170,1/11/2001,"Markham, Ont.",Forwards,Forwards,70,,,,Cedar Rapids,USHL
Western Michigan,Joe Cassetti,8,Forwards,Forwards,Gr,6-4,205,2/28/1999,"Pleasanton, Calif.",Forwards,Forwards,76,,,,Miami,NCHC
Western Michigan,Sam Colangelo,12,Forwards,Forwards,Gr,6-3,208,12/26/2001,"Stoneham, Mass.",Forwards,Forwards,75,2020,ANA,2,Northeastern,HEA
Western Michigan,Matteo Costantini,25,Forwards,Forwards,Sr,6-1,192,8/16/2002,"St. Catharines, Ont.",Forwards,Forwards,73,2020,BUF,5,North Dakota,NCHC
Western Michigan,Luke Grainger,9,Forwards,Forwards,Sr,5-10,180,9/3/1999,"Montreal, Que.",Forwards,Forwards,70,,,,Hawkesbury,CCHL
Western Michigan,Chad Hillebrand,10,Forwards,Forwards,Sr,6-4,200,1/22/1999,"Park Ridge, Ill.",Forwards,Forwards,76,,,,Green Bay,USHL
Western Michigan,Cam Knuble,19,Forwards,Forwards,Sr,6-0,200,7/23/2000,"Grand Rapids, Mich.",Forwards,Forwards,72,,,,Muskegon,USHL
Western Michigan,Hugh Larkin,28,Forwards,Forwards,Sr,6-2,205,3/27/1999,"Livonia, Mich.",Forwards,Forwards,74,,,,Austin,NAHL
Western Michigan,Oliver MacDonald,13,Forwards,Forwards,Sr,5-10,185,11/7/2000,"Grosse Pointe, Mich.",Forwards,Forwards,70,,,,Massachusetts,HEA
Western Michigan,Owen Michaels,34,Forwards,Forwards,Fr,6-1,190,5/1/2002,"Detroit, Mich.",Forwards,Forwards,73,,,,Dubuque,USHL
Western Michigan,Ethan Phillips,29,Forwards,Forwards,Gr,5-9,155,5/7/2001,"Dartmouth, N.S.",Forwards,Forwards,69,2019,DET,4,Boston University,HEA
Western Michigan,Wyatt Schingoethe,18,Forwards,Forwards,Jr,5-11,180,8/3/2002,"Algonquin, Ill.",Forwards,Forwards,71,2020,TOR,7,Waterloo,USHL
Western Michigan,Ean Somoza,26,Forwards,Forwards,Fr,6-3,195,2/8/2003,"Thousand Oaks, Calif.",Forwards,Forwards,75,,,,Wenatchee,BCHL
Western Michigan,Garrett Szydlowski,24,Forwards,Forwards,Fr,5-10,180,6/12/2002,"Detroit, Mich.",Forwards,Forwards,70,,,,Wenatchee,BCHL
Western Michigan,Tim Washe,16,Forwards,Forwards,Sr,6-3,210,8/25/2001,"Clarkston, Mich.",Forwards,Forwards,75,,,,Nanaimo,BCHL
Western Michigan,Dylan Wendt,37,Forwards,Forwards,Jr,6-1,185,1/9/2001,"Grand Haven, Mich.",Forwards,Forwards,73,,,,Muskegon,USHL
Western Michigan,Ethan Wolthers,11,Forwards,Forwards,So,5-8,155,7/19/2001,"Valencia, Calif.",Forwards,Forwards,68,,,,Minnesota,NAHL
Western Michigan,Kirk Laursen,1,Goaltenders,Goaltenders,So,6-3,185,1/2/2000,"Bloomfield Hills, Mich.",Goaltenders,Goaltenders,75,,,,Miami,NCHC
Western Michigan,Cameron Rowe,31,Goaltenders,Goaltenders,Sr,6-3,210,6/1/2001,"Wilmette, Ill.",Goaltenders,Goaltenders,75,,,,Des Moines,USHL
Western Michigan,Dawson Smith,30,Goaltenders,Goaltenders,Fr,6-4,195,2/17/2003,"Whitehorse, YT",Goaltenders,Goaltenders,76,,,,La Ronge,SJHL
Omaha,Noah Ellis,15,Defensemen,Defensemen,So,6-2,192,2/1/2002,"Urbandale, Iowa",Defensemen,Defensemen,74,2020,VGK,6,Massachusetts,HEA
Omaha,Jacob Guevin,10,Defensemen,Defensemen,So,5-11,182,1/17/2003,"Drummondville, Que.",Defensemen,Defensemen,71,,,,Muskegon,USHL
Omaha,Nolan Krenzen,12,Defensemen,Defensemen,Sr,5-9,180,7/13/2001,"Duluth, Minn.",Defensemen,Defensemen,69,,,,Omaha/Sioux City,USHL
Omaha,Joaquim Lemay,2,Defensemen,Defensemen,So,6-1,172,7/28/2002,"St-Pierre-les-Becquets, Que.",Defensemen,Defensemen,73,2021,WSH,4,Lincoln,USHL
Omaha,Griffin Ludtke,7,Defensemen,Defensemen,So,5-10,171,2/1/2003,"Elko, Minn.",Defensemen,Defensemen,70,,,,Sioux City,USHL
Omaha,Victor Mancini,23,Defensemen,Defensemen,Jr,6-4,215,5/26/2002,"Saginaw, Mich.",Defensemen,Defensemen,76,2022,NYR,5,Green Bay,USHL
Omaha,Kirby Proctor,3,Defensemen,Defensemen,Gr,6-3,197,4/20/2001,"Okotoks, Alb.",Defensemen,Defensemen,75,,,,Des Moines,USHL
Omaha,Dominic Vidoli,9,Defensemen,Defensemen,Gr,6-0,190,6/23/1999,"Wake Forest, N.C.",Defensemen,Defensemen,72,,,,Ohio State,B10
Omaha,Michael Abgrall,18,Forwards,Forwards,So,5-10,170,10/25/2003,"Richmond, B.C.",Forwards,Forwards,70,,,,Surrey,BCHL
Omaha,Brock Bremer,26,Forwards,Forwards,Sr,5-5,140,8/26/1999,"Forest Lake, Minn.",Forwards,Forwards,65,,,,Lincoln,USHL
Omaha,Ray Fust,8,Forwards,Forwards,So,6-3,205,10/23/2002,"Bellinzona, Switzerland",Forwards,Forwards,75,,,,Waterloo,USHL
Omaha,Jimmy Glynn,22,Forwards,Forwards,Sr,5-10,180,2/24/2000,"Lemont, Ill.",Forwards,Forwards,70,,,,Dubuque,USHL
Omaha,Jesse Lansdell,14,Forwards,Forwards,Gr,5-11,185,8/5/1998,"Surrey, B.C.",Forwards,Forwards,71,,,,Notre Dame,B10
Omaha,Tanner Ludtke,71,Forwards,Forwards,Fr,6-0,180,11/27/2004,"Elko, Minn.",Forwards,Forwards,72,2023,ARI,3,Lincoln,USHL
Omaha,Charlie Lurie,24,Forwards,Forwards,Fr,5-11,187,3/11/2003,"Minnetonka, Minn.",Forwards,Forwards,71,,,,Cedar Rapids,USHL
Omaha,Matt Miller,27,Forwards,Forwards,Sr,6-2,194,9/4/1999,"Leo, Ind.",Forwards,Forwards,74,,,,Lincoln,USHL
Omaha,Cam Mitchell,16,Forwards,Forwards,So,5-9,170,3/9/2001,"Stony Plain, Alb.",Forwards,Forwards,69,,,,Omaha,USHL
Omaha,Ty Mueller,19,Forwards,Forwards,Jr,5-11,200,2/26/2003,"Cochrane, Alb.",Forwards,Forwards,71,2023,VAN,4,Sherwood Park,AJHL
Omaha,Jack Randl,28,Forwards,Forwards,Gr,5-10,175,5/7/2000,"Carpentersville, Ill.",Forwards,Forwards,70,,,,Michigan,B10
Omaha,Tyler Rollwagen,21,Forwards,Forwards,So,5-11,181,3/20/2001,"Bloomington, Minn.",Forwards,Forwards,71,,,,Fargo,USHL
Omaha,Jacob Slipec,13,Forwards,Forwards,So,5-11,180,12/5/2001,"White Rock, B.C.",Forwards,Forwards,71,,,,Surrey,BCHL
Omaha,Nolan Sullivan,11,Forwards,Forwards,Gr,5-11,203,5/26/1999,"Eden Prairie, Minn.",Forwards,Forwards,71,,,,Muskegon,USHL
Omaha,Zach Urdahl,6,Forwards,Forwards,Jr,6-1,195,10/13/2001,"Eau Claire, Wis.",Forwards,Forwards,73,,,,Wisconsin,B10
Omaha,Will Craig,1,Goaltenders,Goaltenders,Fr,6-2,229,5/16/2002,"Ennismore, Ont.",Goaltenders,Goaltenders,74,,,,New Mexico,NAHL
Omaha,Seth Eisele,32,Goaltenders,Goaltenders,Gr,6-5,195,10/30/1998,"Lake Elmo, Minn.",Goaltenders,Goaltenders,77,,,,Lake Superior State,CCHA
Omaha,Simon Latkoczy,30,Goaltenders,Goaltenders,So,5-11,175,6/1/2002,"Trencin, Slovakia",Goaltenders,Goaltenders,71,,,,Madison,USHL
Lake Superior,Jack Blanchett,16,Defensemen,Defensemen,Fr,5-11,185,5/12/2003,"Monroe, Mich.",Defensemen,Defensemen,71,,,,Powell,BCHL
Lake Superior,Artyom Borshyov,23,Defensemen,Defensemen,Sr,6-3,210,8/22/2000,"Vitebsk, Belarus",Defensemen,Defensemen,75,,,,Youngstown,USHL
Lake Superior,Evan Bushy,5,Defensemen,Defensemen,Fr,6-1,195,3/26/2002,"Mankato, Minn.",Defensemen,Defensemen,73,,,,Trail,BCHL
Lake Superior,Jacob Conrad,4,Defensemen,Defensemen,Fr,5-11,180,5/18/2002,"Green Bay, Wis.",Defensemen,Defensemen,71,,,,Fairbanks,NAHL
Lake Superior,Jeremy Gervais,25,Defensemen,Defensemen,Sr,5-11,180,1/9/1999,"Prince George, B.C.",Defensemen,Defensemen,71,,,,Salmon Arm,BCHL
Lake Superior,Grant Hindman,20,Defensemen,Defensemen,Jr,6-0,200,5/16/2002,"Oakland, Mich.",Defensemen,Defensemen,72,,,,Youngstown,USHL
Lake Superior,Bryan Huggins,2,Defensemen,Defensemen,So,5-11,180,3/26/2002,"Grand Rapids, Mich.",Defensemen,Defensemen,71,,,,Fargo,USHL
Lake Superior,Cam Kungle,24,Defensemen,Defensemen,Fr,6-3,202,3/28/2002,"Red Deer, Alb.",Defensemen,Defensemen,75,,,,Cranbrook,BCHL
Lake Superior,Ross Roloson,6,Defensemen,Defensemen,Fr,5-11,175,1/30/2003,"Woodbury, Minn.",Defensemen,Defensemen,71,,,,Surrey,BCHL
Lake Superior,Nate Schweitzer,14,Defensemen,Defensemen,Jr,6-0,195,2/21/2002,"Champlin, Minn.",Defensemen,Defensemen,72,,,,Colorado College,NCHC
Lake Superior,Timo Bakos,22,Forwards,Forwards,Jr,6-1,194,7/28/2000,"Augsburg, Germany",Forwards,Forwards,73,,,,Starbulls,Oberliga
Lake Superior,Carter Batchelder,18,Forwards,Forwards,Fr,5-10,175,2/25/2003,"Savage, Minn.",Forwards,Forwards,70,,,,Des Moines,USHL
Lake Superior,Cole Craft,26,Forwards,Forwards,Jr,6-2,195,6/29/2001,"North Bay, Ont.",Forwards,Forwards,74,,,,Lincoln,USHL
Lake Superior,John Herrington,28,Forwards,Forwards,Fr,5-11,185,4/19/2002,"Hudson's Hope, B.C.",Forwards,Forwards,71,,,,Prince George,BCHL
Lake Superior,Luke Levandowski,17,Forwards,Forwards,Fr,6-0,165,9/26/2002,"Rosemount, Minn.",Forwards,Forwards,72,,,,Wisconsin,NAHL
Lake Superior,Reagan Milburn,12,Forwards,Forwards,Fr,6-0,190,2/13/2003,"Kamloops, B.C.",Forwards,Forwards,72,,,,Vernon,BCHL
Lake Superior,Connor Milburn,9,Forwards,Forwards,So,6-4,180,4/11/2001,"Kamloops, B.C.",Forwards,Forwards,76,,,,Chilliwack,BCHL
Lake Superior,Branden Piku,7,Forwards,Forwards,Fr,5-8,165,8/25/2002,"Harrison Township, Mich.",Forwards,Forwards,68,,,,Maryland,NAHL
Lake Superior,Benito Posa,27,Forwards,Forwards,Sr,6-1,190,1/16/1999,"Grand Blanc, Mich.",Forwards,Forwards,73,,,,Des Moines,USHL
Lake Superior,Brett Roloson,29,Forwards,Forwards,Jr,5-11,160,12/29/2000,"Newport Beach, Calif.",Forwards,Forwards,71,,,,Minot,NAHL
Lake Superior,Harrison Roy,8,Forwards,Forwards,Sr,6-1,194,1/17/2000,"Lakeville, Mass.",Forwards,Forwards,73,,,,Boston College,HEA
Lake Superior,Sasha Teleguine,10,Forwards,Forwards,Fr,5-10,180,9/17/2002,"North Attleborough, Mass.",Forwards,Forwards,70,,,,Connecticut,HEA
Lake Superior,Dawson Tritt,11,Forwards,Forwards,Jr,6-2,180,9/1/2000,"Spokane, Wash.",Forwards,Forwards,74,,,,Lone Star,NAHL
